Subnet Calculation Results
------------------------------------------------------------------------
Subnet    Network Address   Host Range                      Broadcast Address
258       17.16.64.64       17.16.64.65 - 17.16.64.126          17.16.64.127
259       17.16.64.128      17.16.64.129 - 17.16.64.190          17.16.64.191
260       17.16.64.192      17.16.64.193 - 17.16.64.254          17.16.64.255
261       17.16.65.0        17.16.65.1 - 17.16.65.62           17.16.65.63
262       17.16.65.64       17.16.65.65 - 17.16.65.126          17.16.65.127
263       17.16.65.128      17.16.65.129 - 17.16.65.190          17.16.65.191
264       17.16.65.192      17.16.65.193 - 17.16.65.254          17.16.65.255
265       17.16.66.0        17.16.66.1 - 17.16.66.62           17.16.66.63
266       17.16.66.64       17.16.66.65 - 17.16.66.126          17.16.66.127
267       17.16.66.128      17.16.66.129 - 17.16.66.190          17.16.66.191
268       17.16.66.192      17.16.66.193 - 17.16.66.254          17.16.66.255
269       17.16.67.0        17.16.67.1 - 17.16.67.62           17.16.67.63
270       17.16.67.64       17.16.67.65 - 17.16.67.126          17.16.67.127
271       17.16.67.128      17.16.67.129 - 17.16.67.190          17.16.67.191
272       17.16.67.192      17.16.67.193 - 17.16.67.254          17.16.67.255
273       17.16.68.0        17.16.68.1 - 17.16.68.62           17.16.68.63
274       17.16.68.64       17.16.68.65 - 17.16.68.126          17.16.68.127
275       17.16.68.128      17.16.68.129 - 17.16.68.190          17.16.68.191
276       17.16.68.192      17.16.68.193 - 17.16.68.254          17.16.68.255
277       17.16.69.0        17.16.69.1 - 17.16.69.62           17.16.69.63
278       17.16.69.64       17.16.69.65 - 17.16.69.126          17.16.69.127
279       17.16.69.128      17.16.69.129 - 17.16.69.190          17.16.69.191
280       17.16.69.192      17.16.69.193 - 17.16.69.254          17.16.69.255
281       17.16.70.0        17.16.70.1 - 17.16.70.62           17.16.70.63
282       17.16.70.64       17.16.70.65 - 17.16.70.126          17.16.70.127
283       17.16.70.128      17.16.70.129 - 17.16.70.190          17.16.70.191
284       17.16.70.192      17.16.70.193 - 17.16.70.254          17.16.70.255
285       17.16.71.0        17.16.71.1 - 17.16.71.62           17.16.71.63
286       17.16.71.64       17.16.71.65 - 17.16.71.126          17.16.71.127
287       17.16.71.128      17.16.71.129 - 17.16.71.190          17.16.71.191
288       17.16.71.192      17.16.71.193 - 17.16.71.254          17.16.71.255
289       17.16.72.0        17.16.72.1 - 17.16.72.62           17.16.72.63
290       17.16.72.64       17.16.72.65 - 17.16.72.126          17.16.72.127
291       17.16.72.128      17.16.72.129 - 17.16.72.190          17.16.72.191
292       17.16.72.192      17.16.72.193 - 17.16.72.254          17.16.72.255
293       17.16.73.0        17.16.73.1 - 17.16.73.62           17.16.73.63
294       17.16.73.64       17.16.73.65 - 17.16.73.126          17.16.73.127
295       17.16.73.128      17.16.73.129 - 17.16.73.190          17.16.73.191
296       17.16.73.192      17.16.73.193 - 17.16.73.254          17.16.73.255
297       17.16.74.0        17.16.74.1 - 17.16.74.62           17.16.74.63
298       17.16.74.64       17.16.74.65 - 17.16.74.126          17.16.74.127
299       17.16.74.128      17.16.74.129 - 17.16.74.190          17.16.74.191
300       17.16.74.192      17.16.74.193 - 17.16.74.254          17.16.74.255
301       17.16.75.0        17.16.75.1 - 17.16.75.62           17.16.75.63
302       17.16.75.64       17.16.75.65 - 17.16.75.126          17.16.75.127
303       17.16.75.128      17.16.75.129 - 17.16.75.190          17.16.75.191
304       17.16.75.192      17.16.75.193 - 17.16.75.254          17.16.75.255
305       17.16.76.0        17.16.76.1 - 17.16.76.62           17.16.76.63
306       17.16.76.64       17.16.76.65 - 17.16.76.126          17.16.76.127
307       17.16.76.128      17.16.76.129 - 17.16.76.190          17.16.76.191
308       17.16.76.192      17.16.76.193 - 17.16.76.254          17.16.76.255
309       17.16.77.0        17.16.77.1 - 17.16.77.62           17.16.77.63
310       17.16.77.64       17.16.77.65 - 17.16.77.126          17.16.77.127
311       17.16.77.128      17.16.77.129 - 17.16.77.190          17.16.77.191
312       17.16.77.192      17.16.77.193 - 17.16.77.254          17.16.77.255
313       17.16.78.0        17.16.78.1 - 17.16.78.62           17.16.78.63
314       17.16.78.64       17.16.78.65 - 17.16.78.126          17.16.78.127
315       17.16.78.128      17.16.78.129 - 17.16.78.190          17.16.78.191
316       17.16.78.192      17.16.78.193 - 17.16.78.254          17.16.78.255
317       17.16.79.0        17.16.79.1 - 17.16.79.62           17.16.79.63
318       17.16.79.64       17.16.79.65 - 17.16.79.126          17.16.79.127
319       17.16.79.128      17.16.79.129 - 17.16.79.190          17.16.79.191
320       17.16.79.192      17.16.79.193 - 17.16.79.254          17.16.79.255
321       17.16.80.0        17.16.80.1 - 17.16.80.62           17.16.80.63
322       17.16.80.64       17.16.80.65 - 17.16.80.126          17.16.80.127
323       17.16.80.128      17.16.80.129 - 17.16.80.190          17.16.80.191
324       17.16.80.192      17.16.80.193 - 17.16.80.254          17.16.80.255
325       17.16.81.0        17.16.81.1 - 17.16.81.62           17.16.81.63
326       17.16.81.64       17.16.81.65 - 17.16.81.126          17.16.81.127
327       17.16.81.128      17.16.81.129 - 17.16.81.190          17.16.81.191
328       17.16.81.192      17.16.81.193 - 17.16.81.254          17.16.81.255
329       17.16.82.0        17.16.82.1 - 17.16.82.62           17.16.82.63
330       17.16.82.64       17.16.82.65 - 17.16.82.126          17.16.82.127
331       17.16.82.128      17.16.82.129 - 17.16.82.190          17.16.82.191
332       17.16.82.192      17.16.82.193 - 17.16.82.254          17.16.82.255
333       17.16.83.0        17.16.83.1 - 17.16.83.62           17.16.83.63
334       17.16.83.64       17.16.83.65 - 17.16.83.126          17.16.83.127
335       17.16.83.128      17.16.83.129 - 17.16.83.190          17.16.83.191
336       17.16.83.192      17.16.83.193 - 17.16.83.254          17.16.83.255
337       17.16.84.0        17.16.84.1 - 17.16.84.62           17.16.84.63
338       17.16.84.64       17.16.84.65 - 17.16.84.126          17.16.84.127
339       17.16.84.128      17.16.84.129 - 17.16.84.190          17.16.84.191
340       17.16.84.192      17.16.84.193 - 17.16.84.254          17.16.84.255
341       17.16.85.0        17.16.85.1 - 17.16.85.62           17.16.85.63
342       17.16.85.64       17.16.85.65 - 17.16.85.126          17.16.85.127
343       17.16.85.128      17.16.85.129 - 17.16.85.190          17.16.85.191
344       17.16.85.192      17.16.85.193 - 17.16.85.254          17.16.85.255
345       17.16.86.0        17.16.86.1 - 17.16.86.62           17.16.86.63
346       17.16.86.64       17.16.86.65 - 17.16.86.126          17.16.86.127
347       17.16.86.128      17.16.86.129 - 17.16.86.190          17.16.86.191
348       17.16.86.192      17.16.86.193 - 17.16.86.254          17.16.86.255
349       17.16.87.0        17.16.87.1 - 17.16.87.62           17.16.87.63
350       17.16.87.64       17.16.87.65 - 17.16.87.126          17.16.87.127
351       17.16.87.128      17.16.87.129 - 17.16.87.190          17.16.87.191
352       17.16.87.192      17.16.87.193 - 17.16.87.254          17.16.87.255
353       17.16.88.0        17.16.88.1 - 17.16.88.62           17.16.88.63
354       17.16.88.64       17.16.88.65 - 17.16.88.126          17.16.88.127
355       17.16.88.128      17.16.88.129 - 17.16.88.190          17.16.88.191
356       17.16.88.192      17.16.88.193 - 17.16.88.254          17.16.88.255
357       17.16.89.0        17.16.89.1 - 17.16.89.62           17.16.89.63
358       17.16.89.64       17.16.89.65 - 17.16.89.126          17.16.89.127
359       17.16.89.128      17.16.89.129 - 17.16.89.190          17.16.89.191
